OBJECTID,GlobalID,Municipality,MunicipalityNumber,PlanningRegion,CouncilOfGovernment,MetropolitanPlanningOrganizatio,County,DEMHSRegion,StatePoliceTroop,DOTMunicipalityNumber,DOTConstructionDistrict,DOTHighwayOperationsCenter,TransportationManagementArea,OzoneDesignatedArea,PM25DesignatedArea,CarbonMonoxideDesignatedArea,TransitDistrict,SquareMiles,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
56,09246b30-d487-4b63-99cd-30024e4a5adf,Granby,56,Capital,Capital Region,Capital Region,Hartford,3,H,55,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,41.09541439,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1145674399.90686,150751.164787926
57,75bafb5c-f96e-48b1-80b3-78b46db4f60c,Greenwich,57,Western Connecticut,Western CT,South Western,Fairfield,1,G,56,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,48.54362008,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1353318457.24463,319744.10363065
58,313a4dad-7c3b-4778-8400-5c01b73ecebb,Griswold,58,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,57,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,36.96698982,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1030580528.27014,143759.739918954
59,98bb8d5f-bb5a-4849-aac8-42ffdf4e575e,Groton,59,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,58,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,32.2651693,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,899501295.291138,297330.469042308
60,59d42ab3-23b6-49bb-8919-6623c583c311,Guilford,60,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,F,59,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,47.28749647,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1318299740.73828,248790.488169671
61,5967d17d-bbbe-45e7-881c-fc9c781b975f,Haddam,61,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,60,2,Bridgeport,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,46.29576725,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1290651916.87152,152079.945162443
62,21a91cbf-8df2-4604-87e0-f75acdcd4239,Hamden,62,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,61,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,33.24536625,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,926827617.855713,174480.089882547
63,edb98e0b-0121-4f16-8461-6d2abbab3132,Hampton,63,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,62,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,25.45287218,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,709585351.308044,105935.321010578
64,0cf45e5f-d44f-4683-979a-62a127603370,Hartford,64,Capital,Capital Region,Capital Region,Hartford,3,H,63,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,18.08605113,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,504210167.418152,110148.787360372
65,a04b9d74-7d86-43d1-be5e-b024190994e7,Hartland,65,Northwest Hills,Northwest Hills,Northwest Hills,Hartford,5,B,64,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,,34.27258671,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,955464880.82782,129222.298397397
66,a729869d-543b-43e4-92f8-8702a957fb0b,Harwinton,66,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,65,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,31.11349525,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,867394465.379272,119037.735420733
67,c1e4eddc-e7af-45de-83c4-ca8714e37306,Hebron,67,Capital,Capital Region,Capital Region,Tolland,3,K,66,2,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,37.40287173,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1042732218.53333,154558.409985026
68,f5778f28-8293-44f9-874c-d95900472fbb,Kent,68,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,67,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,49.68789382,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1385218978.26801,160590.008929591
69,4f381240-78ff-4aa7-90ef-2011e7379fc6,Killingly,69,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,68,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Northeastern CT,49.97487217,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1393219475.52747,178608.711465606
70,5696d2b1-37ff-421d-9adb-3da2bdda9eb2,Killingworth,70,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,69,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,35.88369099,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1000379890.20361,164541.571407771
71,fd4c1f3b-5fc5-46a0-be46-40d20c2ec21f,Lebanon,71,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,K,70,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,55.15940984,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1537756090.52246,182071.619928428
72,288c0e44-a998-4cec-98a2-89d56e5ceb70,Ledyard,72,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,71,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,39.91046616,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1112639939.1485,140905.109663238
73,6a17275b-e40f-4748-bb56-90d61ca0afda,Lisbon,73,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,72,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,16.6528021,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,464253477.876892,103344.486107758
74,5ec592e4-6420-413d-bdf8-07efed38bbce,Litchfield,74,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,73,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,56.92581747,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1587000708.91943,197145.640912583
75,b58bd936-2547-4da4-9c84-24e7bc68ce2b,Lyme,75,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,New London,4,F,74,2,Bridgeport,New Haven,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,34.4071585,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,959216527.032715,144471.334864429
76,043374c7-f7f7-4faf-b87d-58a607b38a51,Madison,76,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,F,75,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,36.7439139,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1024361528.72632,236579.858225764
77,b8001710-6eeb-419b-bd1d-58c17cc71132,Manchester,77,Capital,Capital Region,Capital Region,Hartford,3,H,76,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,27.66233936,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,771181761.28302,114230.070283851
78,2e22ddf1-584a-48ac-934b-3f31ee616811,Mansfield,78,Capital,Capital Region,Capital Region,Tolland,4,C,77,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,45.58179151,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1270747415.64862,170115.108694187
79,c3ebbd95-17ee-4898-b739-d0e346269435,Marlborough,79,Capital,Capital Region,Capital Region,Hartford,3,K,78,2,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,23.44046961,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,653482787.597839,106326.610909811
80,e7f21c4c-2f60-4347-adea-484d629324de,Meriden,80,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,79,1,Newington,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Meriden,23.92656109,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,667034240.334106,122772.323179626
81,f9b1f42f-79de-4384-97de-72e65ddb8eb1,Middlebury,81,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,A,80,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater Waterbury,18.42126041,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,513555265.803345,100672.204153331
82,9f93dd38-8baf-4c2b-af8a-8ea42c695b9f,Middlefield,82,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,81,1,Newington,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Middletown Area,13.09068178,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,364947262.764893,76989.1704911986
83,e504dc63-b1a6-4de3-8089-93fa30e4d587,Middletown,83,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,3,F,82,1,Newington,Hartford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Middletown Area,42.46410702,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1183831360.4884,177457.113614794
84,5a860c0a-694e-4a41-bb22-16162af573b0,Milford,84,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,83,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Milford,22.23421812,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,619854426.178589,189228.894141594
85,d4424605-2015-4f05-8a2e-308cb28fd50b,Monroe,85,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,84,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,26.28458343,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,732772130.277527,130324.891026689
86,13e45804-70ff-420c-83b3-e9e29d784644,Montville,86,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,85,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,44.24327712,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1233431776.05591,160025.035359627
87,40cffb8b-4391-421f-bc6a-b352dba2033b,Morris,87,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,L,86,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,18.69176082,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,521096384.422913,99645.834646488
88,73011af8-e4d0-476c-9883-a6420f84438e,Naugatuck,88,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,I,87,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater Waterbury,16.43810537,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,458268076.486328,92433.5399404752
89,8fc2a02d-b1fd-4b85-bd2f-cfcc57e5e91b,New Britain,89,Capital,Capital Region,Capital Region,Hartford,3,H,88,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,13.43306745,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,374492427.250916,78136.7881980336
90,61a251ee-1af9-4af6-a8f3-bba961bb3b7d,New Canaan,90,Western Connecticut,Western CT,South Western,Fairfield,1,G,89,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,,22.536462,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,628280501.978638,106626.830191828
91,1db57f5f-2607-4b32-a512-32b04058584f,New Fairfield,91,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,90,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,25.1719989,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,701755053.791199,122974.675179861
92,601becf0-15d7-4422-a9b2-69a3cd7dff83,New Hartford,92,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,91,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,38.06772216,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1061267184.72247,136202.661878598
93,8a191e42-1cba-4b0d-a321-491e6c44f428,New Haven,93,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,92,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,19.17694329,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,534622495.497437,175974.4459979
94,4d2f7994-2983-450e-a5ae-ebf7e3faccaf,New London,95,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,94,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,6.22050311,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,173417673.902405,97989.0564699995
95,d6a68428-d5ac-4e89-97ec-ef9e8bcc90c9,New Milford,96,Western Connecticut,Western CT,Housatonic Valley,Litchfield,5,A,95,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,1,Housatonic Area Regional,63.88074155,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1780892864.08557,208424.495770677
96,d9893fae-1414-4842-b76e-68e736802041,Newington,94,Capital,Capital Region,Capital Region,Hartford,3,H,93,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,13.11384246,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,365592945.515747,83298.0821512865
97,15abdfab-c2ef-4ed5-81d4-18b2887aa2dc,Newtown,97,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,96,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,58.90366883,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1642140040.07336,187018.106472899
98,d48f5907-e043-491d-8f31-f2560031c046,Norfolk,98,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,97,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,46.34575597,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1292045522.42279,150993.826721925
99,92bda689-3135-4790-83af-93fed36209aa,North Branford,99,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,F,98,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,26.91962082,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,750475956.708801,129718.552438626
100,400b4918-6801-4875-9523-d72b91d196a0,North Canaan,100,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,99,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,19.52217156,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,544246907.299255,98261.2567771803
101,b21d0587-8ae1-4143-af73-94a8a664073e,North Haven,101,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,100,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,21.11166891,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,588559550.12323,123707.400104878
102,0efae809-5e64-48ff-a258-7da3b7c082cd,North Stonington,102,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,101,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,54.93560243,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1531516697.95453,162086.998414117
103,c7b81ba7-9fd2-40d9-89a2-50c4f2bbaf1a,Norwalk,103,Western Connecticut,Western CT,South Western,Fairfield,1,G,102,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Norwalk,22.87650494,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,637760354.825592,247161.011571297
104,9b293b75-8ad6-4c5a-bcdb-2a9abc8ee1d0,Norwich,104,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,E,103,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Southeast,29.33812627,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,817900018.981445,131559.747902211
105,b32dfe61-1980-4a91-b734-2a51a8700eb2,Old Lyme,105,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,New London,4,F,104,2,Bridgeport,New Haven,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,24.50802073,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,683244404.631165,201078.257865648
106,3be91c74-4ddb-419f-858c-7382611ba9c8,Old Saybrook,106,Lower Connecticut River Valley,Lower CT River Valley,Lower CT River Valley,Middlesex,2,F,105,2,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Estuary,15.90110146,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,443297266.565369,154919.697422834
107,a3dbeb31-474d-4608-8302-dfd7ab38b1c0,Orange,107,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,106,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,17.40181257,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,485134691.143677,94750.0304064114
108,fff871f4-e563-4f4a-a231-13e770bd9476,Oxford,108,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,A,107,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,33.33000102,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,929187099.871948,138259.384187846
109,511f041b-5093-41b7-a308-f130764c1b1c,Plainfield,109,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,D,108,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,43.07981627,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1200996349.11932,156360.766712468
110,9d2763af-370d-4248-89e3-03bf1dd7db6b,Plainville,110,Capital,Capital Region,Capital Region,Hartford,3,H,109,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,9.86091693,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,274906586.505859,68007.831812644
111,deb11bcc-c31c-4946-b328-435df5729856,Plymouth,111,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Litchfield,5,L,110,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,22.32165858,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,622292126.200928,105571.594091664
